Date,Open,High,Low,Close,Volume
4/14/2016,111.620003,112.389999,111.330002,112.099998,25473900
4/15/2016,112.110001,112.300003,109.730003,109.849998,46939000
4/18/2016,108.889999,108.949997,106.940002,107.480003,60834000
4/19/2016,107.879997,108,106.230003,106.910004,32384900
4/20/2016,106.639999,108.089996,106.059998,107.129997,30611000
4/21/2016,106.93,106.93,105.519997,105.970001,31552500
4/22/2016,105.010002,106.480003,104.620003,105.68,33683100
4/25/2016,105,105.650002,104.510002,105.080002,28031600
4/26/2016,103.910004,105.300003,103.910004,104.349998,56016200
4/27/2016,96,98.709999,95.68,97.82,114602100
4/28/2016,97.610001,97.879997,94.25,94.830002,82242700
4/29/2016,93.989998,94.720001,92.510002,93.739998,68531500
5/2/2016,93.970001,94.080002,92.400002,93.639999,48160100
5/3/2016,94.199997,95.739998,93.68,95.18,56831300
5/4/2016,95.199997,95.900002,93.82,94.190002,41025500
5/5/2016,94,94.07,92.68,93.239998,35890500
5/6/2016,93.370003,93.449997,91.849998,92.720001,43458200
5/9/2016,93,93.769997,92.589996,92.790001,32936400
5/10/2016,93.330002,93.57,92.110001,93.419998,33686800
5/11/2016,93.480003,93.57,92.459999,92.510002,28719100
5/12/2016,92.720001,92.779999,89.470001,90.339996,76314700
5/13/2016,90,91.669998,90,90.519997,44392800
5/16/2016,92.389999,94.389999,91.650002,93.879997,61259800
5/17/2016,94.550003,94.699997,93.010002,93.489998,46916900
5/18/2016,94.160004,95.209999,93.889999,94.559998,42062400
5/19/2016,94.639999,94.639999,93.57,94.199997,30442100
5/20/2016,94.639999,95.43,94.519997,95.220001,32026000
5/23/2016,95.870003,97.190002,95.669998,96.43,38018600
5/24/2016,97.220001,98.089996,96.839996,97.900002,35140200
5/25/2016,98.669998,99.739998,98.110001,99.620003,38168800
5/26/2016,99.68,100.730003,98.639999,100.410004,56331200
5/27/2016,99.440002,100.470001,99.25,100.349998,36229500
5/31/2016,99.599998,100.400002,98.82,99.860001,42307200
6/1/2016,99.019997,99.540001,98.330002,98.459999,29173300
6/2/2016,97.599998,97.839996,96.629997,97.720001,40191600
6/3/2016,97.790001,98.269997,97.449997,97.919998,28062900
6/6/2016,97.989998,101.889999,97.550003,98.629997,23292500
6/7/2016,99.25,99.870003,98.959999,99.029999,22409500
6/8/2016,99.019997,99.559998,98.68,98.940002,20848100
6/9/2016,98.5,99.989998,98.459999,99.650002,26601400
6/10/2016,98.529999,99.349998,98.480003,98.830002,31712900
6/13/2016,98.690002,99.120003,97.099998,97.339996,38020500
6/14/2016,97.32,98.480003,96.75,97.459999,31931900
6/15/2016,97.82,98.410004,97.029999,97.139999,29445200
6/16/2016,96.449997,97.75,96.07,97.550003,31326800
6/17/2016,96.620003,96.650002,95.300003,95.330002,61008200
6/20/2016,96,96.57,95.029999,95.099998,34411900
6/21/2016,94.940002,96.349998,94.68,95.910004,35546400
6/22/2016,96.25,96.889999,95.349998,95.550003,29219100
6/23/2016,95.940002,96.290001,95.25,96.099998,32240200
6/24/2016,92.910004,94.660004,92.650002,93.400002,75311400
6/27/2016,93,93.050003,91.5,92.040001,45489600
6/28/2016,92.900002,93.660004,92.139999,93.589996,40444900
6/29/2016,93.970001,94.550003,93.629997,94.400002,36531000
6/30/2016,94.440002,95.769997,94.300003,95.599998,35836400
7/1/2016,95.489998,96.470001,95.330002,95.889999,26026500
7/5/2016,95.389999,95.400002,94.459999,94.989998,27705200
7/6/2016,94.599998,95.660004,94.370003,95.529999,30949100
7/7/2016,95.699997,96.5,95.620003,95.940002,25139600
7/8/2016,96.489998,96.889999,96.050003,96.68,28912100
7/11/2016,96.75,97.650002,96.730003,96.980003,23794900
7/12/2016,97.169998,97.699997,97.120003,97.419998,24167500
7/13/2016,97.410004,97.669998,96.839996,96.870003,25892200
7/14/2016,97.389999,98.989998,97.32,98.790001,38919000
7/15/2016,98.919998,99.300003,98.5,98.779999,30137000
7/18/2016,98.699997,100.129997,98.599998,99.830002,36493900
7/19/2016,99.559998,100,99.339996,99.870003,23779900
7/20/2016,100,100.459999,99.739998,99.959999,26276000
7/21/2016,99.830002,101,99.129997,99.43,32702000
7/22/2016,99.260002,99.300003,98.309998,98.660004,28313700
7/25/2016,98.25,98.839996,96.919998,97.339996,40382900
7/26/2016,96.82,97.970001,96.419998,96.669998,56239800
7/27/2016,104.269997,104.349998,102.75,102.949997,92344800
7/28/2016,102.830002,104.449997,102.82,104.339996,39869800
7/29/2016,104.190002,104.550003,103.68,104.209999,27733700
8/1/2016,104.410004,106.150002,104.410004,106.050003,38167900
8/2/2016,106.050003,106.07,104,104.480003,33816600
8/3/2016,104.809998,105.839996,104.769997,105.790001,30202600
8/4/2016,105.580002,106,105.279999,105.870003,27408700
8/5/2016,106.269997,107.650002,106.18,107.480003,40553400
8/8/2016,107.519997,108.370003,107.160004,108.370003,28037200
8/9/2016,108.230003,108.940002,108.010002,108.809998,26315200
8/10/2016,108.709999,108.900002,107.760002,108,24008500
8/11/2016,108.519997,108.93,107.849998,107.93,27484500
8/12/2016,107.779999,108.440002,107.779999,108.18,18660400
8/15/2016,108.139999,109.540001,108.080002,109.480003,25868200
8/16/2016,109.629997,110.230003,109.209999,109.379997,33794400
8/17/2016,109.099998,109.370003,108.339996,109.220001,25356000
8/18/2016,109.230003,109.599998,109.019997,109.080002,21984700
8/19/2016,108.769997,109.690002,108.360001,109.360001,25368100
8/22/2016,108.860001,109.099998,107.849998,108.510002,25820200
8/23/2016,108.589996,109.32,108.529999,108.849998,21257700
8/24/2016,108.57,108.75,107.68,108.029999,23675100
8/25/2016,107.389999,107.879997,106.68,107.57,25086200
8/26/2016,107.410004,107.949997,106.309998,106.940002,27766300
8/29/2016,106.620003,107.440002,106.290001,106.82,24970300
8/30/2016,105.800003,106.5,105.5,106,24863900
8/31/2016,105.660004,106.57,105.639999,106.099998,29662400
9/1/2016,106.139999,106.800003,105.620003,106.730003,26701500
9/2/2016,107.699997,108,106.82,107.730003,26802500
9/6/2016,107.900002,108.300003,107.510002,107.699997,26880400
9/7/2016,107.830002,108.760002,107.07,108.360001,42364300
9/8/2016,107.25,107.269997,105.239998,105.519997,53002000
9/9/2016,104.639999,105.720001,103.129997,103.129997,46557000
9/12/2016,102.650002,105.720001,102.529999,105.440002,45292800
9/13/2016,107.510002,108.790001,107.239998,107.949997,62176200
9/14/2016,108.730003,113.029999,108.599998,111.769997,110888700
9/15/2016,113.860001,115.730003,113.489998,115.57,89983600
9/16/2016,115.120003,116.129997,114.040001,114.919998,79886900
9/19/2016,115.190002,116.18,113.25,113.580002,47023000
9/20/2016,113.050003,114.120003,112.510002,113.57,34514300
9/21/2016,113.849998,113.989998,112.440002,113.550003,36003200
9/22/2016,114.349998,114.940002,114,114.620003,31074000
9/23/2016,114.419998,114.790001,111.550003,112.709999,52481200
9/26/2016,111.639999,113.389999,111.550003,112.879997,29869400
9/27/2016,113,113.18,112.339996,113.089996,24607400
9/28/2016,113.690002,114.639999,113.43,113.949997,29641100
9/29/2016,113.160004,113.800003,111.800003,112.18,35887000
9/30/2016,112.459999,113.370003,111.800003,113.050003,36379100
10/3/2016,112.709999,113.050003,112.279999,112.519997,21701800
10/4/2016,113.059998,114.309998,112.629997,113,29736800
10/5/2016,113.400002,113.660004,112.690002,113.050003,21453100
10/6/2016,113.699997,114.339996,113.129997,113.889999,28779300
10/7/2016,114.309998,114.559998,113.510002,114.059998,24358400
10/10/2016,115.019997,116.75,114.720001,116.050003,36236000
10/11/2016,117.699997,118.690002,116.199997,116.300003,64041000
10/12/2016,117.349998,117.980003,116.75,117.339996,37586800
10/13/2016,116.790001,117.440002,115.720001,116.980003,35192400
10/14/2016,117.879997,118.169998,117.129997,117.629997,35652200
10/17/2016,117.330002,117.839996,116.779999,117.550003,23624900
10/18/2016,118.18,118.209999,117.449997,117.470001,24553500
10/19/2016,117.25,117.760002,113.800003,117.120003,20034600
10/20/2016,116.860001,117.379997,116.330002,117.059998,24125800
10/21/2016,116.809998,116.910004,116.279999,116.599998,23192700
10/24/2016,117.099998,117.739998,117,117.650002,23538700
10/25/2016,117.949997,118.360001,117.309998,118.25,48129000
10/26/2016,114.309998,115.699997,113.309998,115.589996,66134200
10/27/2016,115.389999,115.860001,114.099998,114.480003,34562000
10/28/2016,113.870003,115.209999,113.449997,113.720001,37861700
10/31/2016,113.650002,114.230003,113.199997,113.540001,26419400
11/1/2016,113.459999,113.769997,110.529999,111.489998,43825800
11/2/2016,111.400002,112.349998,111.230003,111.589996,28331700
11/3/2016,110.980003,111.459999,109.550003,109.830002,26932600
11/4/2016,108.529999,110.25,108.110001,108.839996,30837000
11/7/2016,110.080002,110.510002,109.459999,110.410004,32560000
11/8/2016,110.309998,111.720001,109.699997,111.059998,24054500
11/9/2016,109.879997,111.32,108.050003,110.879997,59176400
11/10/2016,111.089996,111.089996,105.830002,107.790001,57134500
11/11/2016,107.120003,108.870003,106.550003,108.43,34094100
11/14/2016,107.709999,107.809998,104.080002,105.709999,51175500
11/15/2016,106.57,107.68,106.160004,107.110001,32264500
11/16/2016,106.699997,110.230003,106.599998,109.989998,58840500
11/17/2016,109.809998,110.349998,108.830002,109.949997,27632000
11/18/2016,109.720001,110.540001,109.660004,110.059998,28428900
11/21/2016,110.120003,111.989998,110.010002,111.730003,29264600
11/22/2016,111.949997,112.419998,111.400002,111.800003,25965500
11/23/2016,111.360001,111.510002,110.330002,111.230003,27426400
11/25/2016,111.129997,111.870003,110.949997,111.790001,11475900
11/28/2016,111.43,112.470001,111.389999,111.57,27194000
11/29/2016,110.779999,112.029999,110.07,111.459999,28528800
11/30/2016,111.599998,112.199997,110.269997,110.519997,36162300
12/1/2016,110.370003,110.940002,109.029999,109.489998,37086900
12/2/2016,109.169998,110.089996,108.849998,109.900002,26528000
12/5/2016,110,110.029999,108.25,109.110001,34324500
12/6/2016,109.5,110.360001,109.190002,109.949997,26195500
12/7/2016,109.260002,111.190002,109.160004,111.029999,29998700
12/8/2016,110.860001,112.43,110.599998,112.120003,27068300
12/9/2016,112.309998,114.699997,112.309998,113.949997,34402600
12/12/2016,113.290001,115,112.489998,113.300003,26374400
12/13/2016,113.839996,115.919998,113.75,115.190002,43733800
12/14/2016,115.040001,116.199997,114.980003,115.190002,34031800
12/15/2016,115.379997,116.730003,115.230003,115.82,46524500
12/16/2016,116.470001,116.5,115.650002,115.970001,44351100
12/19/2016,115.800003,117.379997,115.75,116.639999,27779400
12/20/2016,116.739998,117.5,116.68,116.949997,21425000
12/21/2016,116.800003,117.400002,116.779999,117.059998,23783200
12/22/2016,116.349998,116.510002,115.639999,116.290001,26085900
12/23/2016,115.589996,116.519997,115.589996,116.519997,14181200
12/27/2016,116.519997,117.800003,116.489998,117.260002,18296900
12/28/2016,117.519997,118.019997,116.199997,116.760002,20905900
12/29/2016,116.449997,117.110001,116.400002,116.730003,15039500
12/30/2016,116.650002,117.199997,115.43,115.82,30586300
1/3/2017,115.800003,116.330002,114.760002,116.150002,28781900
1/4/2017,115.849998,116.510002,115.75,116.019997,21118100
1/5/2017,115.919998,116.860001,115.809998,116.610001,22193600
1/6/2017,116.779999,118.160004,116.470001,117.910004,31751900
1/9/2017,117.949997,119.43,117.940002,118.989998,33561900
1/10/2017,118.769997,119.379997,118.300003,119.110001,24462100
1/11/2017,118.739998,119.93,118.599998,119.75,27588600
1/12/2017,118.900002,119.300003,118.209999,119.25,27086200
1/13/2017,119.110001,119.620003,118.809998,119.040001,26111900
1/17/2017,118.339996,120.239998,118.220001,120,34439800
1/18/2017,120,120.5,119.709999,119.989998,23713000
1/19/2017,119.400002,120.089996,119.370003,119.779999,25597300
1/20/2017,120.449997,120.449997,119.730003,120,32597900
1/23/2017,120,120.809998,119.769997,120.080002,22050200
1/24/2017,119.550003,120.099998,119.5,119.970001,23211000
1/25/2017,120.419998,122.099998,120.279999,121.879997,32377600
1/26/2017,121.669998,122.440002,121.599998,121.940002,26337600
1/27/2017,122.139999,122.349998,121.599998,121.949997,20562900
1/30/2017,120.93,121.629997,120.660004,121.629997,30377500
1/31/2017,121.150002,121.389999,120.620003,121.349998,49201000
2/1/2017,127.029999,130.490005,127.010002,128.75,111985000
2/2/2017,127.980003,129.389999,127.779999,128.529999,33710400
2/3/2017,128.309998,129.190002,128.160004,129.080002,24507300
2/6/2017,129.130005,130.5,128.899994,130.289993,26845900
2/7/2017,130.539993,132.089996,130.449997,131.529999,38183800
2/8/2017,131.350006,132.220001,131.220001,132.039993,23004100
2/9/2017,131.649994,132.449997,131.119995,132.419998,28349900
2/10/2017,132.460007,132.940002,132.050003,132.119995,20065500
2/13/2017,133.080002,133.820007,132.75,133.289993,23035400
2/14/2017,133.470001,135.089996,133.25,135.020004,33226200
2/15/2017,135.520004,136.270004,134.619995,135.509995,35623100
2/16/2017,135.669998,135.899994,134.839996,135.350006,22584600
2/17/2017,135.100006,135.830002,135.100006,135.720001,22198200
2/21/2017,136.229996,136.75,135.979996,136.699997,24507200
2/22/2017,136.429993,137.119995,136.110001,137.110001,20836900
2/23/2017,137.380005,137.479996,136.300003,136.529999,20788200
2/24/2017,135.910004,136.660004,135.279999,136.660004,21776600
2/27/2017,137.139999,137.440002,136.279999,136.929993,20257400
2/28/2017,137.080002,137.440002,136.699997,136.990005,23482900
3/1/2017,137.889999,140.149994,137.600006,139.789993,36414600
3/2/2017,140,140.279999,138.759995,138.960007,26211000
3/3/2017,138.779999,139.830002,138.589996,139.779999,21108100
3/6/2017,139.369995,139.770004,138.600006,139.339996,21750000
3/7/2017,139.059998,139.979996,138.789993,139.520004,17446300
3/8/2017,138.949997,139.800003,138.820007,139,18707200
3/9/2017,138.740005,138.789993,137.050003,138.679993,22155900
3/10/2017,139.25,139.360001,138.639999,139.139999,19612800
3/13/2017,138.850006,139.429993,138.820007,139.199997,17421700
3/14/2017,139.300003,139.649994,138.839996,138.990005,15309100
3/15/2017,139.410004,140.75,139.029999,140.460007,25691800
3/16/2017,140.720001,141.020004,140.259995,140.690002,19232000
3/17/2017,141,141,139.889999,139.990005,43885000
3/20/2017,140.399994,141.5,140.229996,141.460007,21542000
3/21/2017,142.110001,142.800003,139.729996,139.839996,39529900
3/22/2017,139.850006,141.600006,139.759995,141.419998,25860200
3/23/2017,141.259995,141.580002,140.610001,140.919998,20346300
3/24/2017,141.5,141.740005,140.350006,140.639999,22395600
3/27/2017,139.389999,141.220001,138.619995,140.880005,23575100
3/28/2017,140.910004,144.039993,140.619995,143.800003,33374800
3/29/2017,143.679993,144.490005,143.190002,144.119995,29190000
3/30/2017,144.190002,144.5,143.5,143.929993,21207300
3/31/2017,143.720001,144.270004,143.009995,143.660004,19661700
4/3/2017,143.710007,144.119995,143.050003,143.699997,19985700
4/4/2017,143.25,144.889999,143.169998,144.770004,19891400
4/5/2017,144.220001,145.460007,143.809998,144.020004,27717900
4/6/2017,144.289993,144.520004,143.449997,143.660004,21149000
4/7/2017,143.729996,144.179993,143.270004,143.339996,16672200
4/10/2017,143.600006,143.880005,142.899994,143.169998,18933400
4/11/2017,142.940002,143.350006,140.059998,141.630005,30379400
4/12/2017,141.600006,142.149994,141.009995,141.800003,20350000
4/13/2017,141.910004,142.380005,141.050003,141.050003,17822900
4/17/2017,141.479996,141.880005,140.869995,141.830002,16582100
4/18/2017,141.410004,142.039993,141.110001,141.199997,14697500
4/19/2017,141.880005,142,140.449997,140.679993,17328400
4/20/2017,141.220001,142.919998,141.160004,142.440002,23319600
4/21/2017,142.440002,142.679993,141.850006,142.270004,17320900
4/24/2017,143.5,143.949997,143.179993,143.639999,17134300
4/25/2017,143.910004,144.899994,143.869995,144.529999,18871500
4/26/2017,144.470001,144.600006,143.380005,143.679993,20041200
4/27/2017,143.919998,144.160004,143.309998,143.789993,14246300
4/28/2017,144.089996,144.300003,143.270004,143.649994,20860400
5/1/2017,145.100006,147.199997,144.960007,146.580002,33602900
5/2/2017,147.539993,148.089996,146.839996,147.509995,45352200
5/3/2017,145.589996,147.490005,144.270004,147.059998,45697000
5/4/2017,146.520004,147.139999,145.809998,146.529999,23371900
5/5/2017,146.759995,148.979996,146.759995,148.960007,27327700
5/8/2017,149.029999,153.699997,149.029999,153.009995,48752400
5/9/2017,153.869995,154.880005,153.449997,153.990005,39130400
5/10/2017,153.630005,153.940002,152.110001,153.259995,25805700
5/11/2017,152.449997,154.070007,152.309998,153.949997,27255100
5/12/2017,154.699997,156.419998,154.669998,156.100006,32527000
5/15/2017,156.009995,156.649994,155.050003,155.699997,26009700
5/16/2017,155.940002,156.059998,154.720001,155.470001,20048500
5/17/2017,153.600006,154.570007,149.710007,150.25,50767700
5/18/2017,151.270004,153.339996,151.130005,152.539993,33568200
5/19/2017,153.380005,153.979996,152.630005,153.059998,26960800
5/22/2017,154,154.580002,152.910004,153.990005,22966400
5/23/2017,154.899994,154.899994,153.309998,153.800003,19918900
5/24/2017,153.839996,154.169998,152.669998,153.339996,19178000
5/25/2017,153.729996,154.350006,153.029999,153.869995,19235600
5/26/2017,154,154.240005,153.309998,153.610001,21701100
5/30/2017,153.419998,154.429993,153.330002,153.669998,20126900
5/31/2017,153.970001,154.169998,152.380005,152.759995,24451200
6/1/2017,153.169998,153.330002,152.220001,153.179993,16404100
